Id	Function_broad_final	Gene_name	Interpro.Description	label2	downreg_in_guy11_4h	downreg_in_guy11_24h	upreg_in_guy11_0h	upreg_in_guy11_4h	downreg_in_guy11_0h	upreg_in_guy11_24h	node_downreg_in_guy11_4h	node_downreg_in_guy11_24h	node_upreg_in_guy11_0h	node_upreg_in_guy11_4h	node_downreg_in_guy11_0h	node_upreg_in_guy11_24h
MGG_00076	transcription_factor	sip5	Protein Sip5/DA2	sip5	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	0	0	0	1	0	0
MGG_00083	effector		Uncharacterized	MGG_00083#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	0	0	0	0	0	1
MGG_00085	transport		MFS transporter superfamily, Major facilitator superfamily domain, Major facilitator,  sugar transporter-like, Sugar transporter, conserved site, Sugar/inositol transporter	MGG_00085#	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	Not_DEG	0	0	0	1	0	0
MGG_00086	cell_wall_enzymes		Chitinase II, Chitinase insertion domain superfamily, Glycoside hydrolase family 18, catalytic domain, Glycoside hydrolase superfamily, Glycosyl hydrolases family 18 (GH18) active site	MGG_00086#	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	0	0	0	1	0	0
MGG_00087	translation_ribosome		Brix domain, Protein Peter Pan-like	MGG_00087#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00088	cell_wall_enzymes		Glycoside hydrolase-type carbohydrate-binding, Glycosyl hydrolase family 92, Glycosyl hydrolase family 92 N-terminal domain, Six-hairpin glycosidase superfamily	MGG_00088#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	0	0	0	0	0	1
MGG_00103	ubiquitin_proteasome		Ubiquitin-conjugating enzyme E2, Ubiquitin-conjugating enzyme/RWD-like	MGG_00103#	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	1	0	0	0	0	0
MGG_00104	cytoskeleton		ADF-H/Gelsolin-like domain superfamily, Actin-depolymerising factor homology domain, Coactosin-like protein	MGG_00104#	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	1	0	0	0	0	0
MGG_00105	translation_ribosome		Histone transcription regulator 3/CABIN1, Tetratricopeptide-like helical domain superfamily	MGG_00105#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Δmst12	0	0	0	0	1	1
MGG_00109	transport		Citrate transporter-like domain	MGG_00109#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00110	effector		SGNH hydrolase superfamily	MGG_00110#	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	Δbip1, Δmst12	0	0	0	1	0	1
MGG_00111	binding_scaffold_other	PDE1	HAD superfamily, HAD-like superfamily, P-type ATPase, P-type ATPase, A domain superfamily, P-type ATPase, C-terminal, P-type ATPase, N-terminal, P-type ATPase, cytoplasmic domain N, P-type ATPase, phosphorylation site, P-type ATPase, subfamily IV, P-type ATPase, transmembrane domain superfamily	PDE1	Not_DEG	Δbip1	Not_DEG	Not_DEG	Not_DEG	Not_DEG	0	1	0	0	0	0
MGG_00129	dna_rna_protein_binding	MIR1	U3 snoRNA associated	MIR1	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00133	transport		MFS transporter superfamily, Major facilitator superfamily, Major facilitator superfamily domain	MGG_00133#	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	1	0	0	1	0
MGG_00134	transcription_factor		PH-like domain superfamily, Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type, von Willebrand factor A-like domain superfamily, von Willebrand factor, type A	MGG_00134#	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Δbip1	Δbip1, Δmst12	0	0	0	1	1	1
MGG_00137	transcription_factor		FKBP12-associated protein 1, R3H domain, R3H domain, R3H domain superfamily, Transcription factor NFX1 family, Zinc finger, NF-X1-type	MGG_00137#	Δmst12	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	1	0	0	0	1	0
MGG_00138	transcription_factor		Homeobox-like domain superfamily, SANT/Myb domain, Transcription factor TFIIIB component B'', Myb domain	MGG_00138#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00139	dna_rna_protein_binding		E3 ubiquitin ligase Bre1, Zinc finger C2H2-type, Zinc finger, RING-type, Zinc finger, RING-type, conserved site, Zinc finger, RING/FYVE/PHD-type	MGG_00139#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	0	0	0	0	1	0
MGG_00141	transport		AAA+ ATPase domain, ABC transporter type 1, transmembrane domain, ABC transporter type 1, transmembrane domain superfamily, ABC transporter-like, ATP-binding domain, ABC transporter-like, conserved site, P-loop containing nucleoside triphosphate hydrolase, Type 1 protein exporter	MGG_00141#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00145	transcription_factor	PEX10	Pex, N-terminal, Zinc finger, RING-type, Zinc finger, RING-type, conserved site, Zinc finger, RING/FYVE/PHD-type	PEX10	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	0	0	0	0	1	0
MGG_00150	transport		MFS transporter superfamily, Membrane protein SUR7/Rim9-like, fungi	MGG_00150#	Not_DEG	Not_DEG	Not_DEG	Δmst12	Not_DEG	Not_DEG	0	0	0	1	0	0
MGG_00152	dna_rna_processing_and_repair	KMT6	CXC domain, EZH2, N-terminal domain, MCSS domain, SET domain	KMT6	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	0	0	0	0	1	0
MGG_00155	dna_rna_processing_and_repair		5'-3' exonuclease, C-terminal domain superfamily, Helix-hairpin-helix motif, class 2, PIN-like domain superfamily, XPG N-terminal, XPG conserved site, XPG-I domain, XPG/Rad2 endonuclease, XPG/Rad2 endonuclease, eukaryotes	MGG_00155#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	0	0	0	0	1	0
MGG_00161	transcription_factor		Aminoacyl-tRNA synthetase, class II, Aminoacyl-tRNA synthetase, class II (D/K/N), Lysyl-tRNA synthetase, class II, C-terminal, Nucleic acid-binding, OB-fold	MGG_00161#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00166	signal_transduction		PPM-type phosphatase domain, PPM-type phosphatase domain superfamily, Protein phosphatase 2C	MGG_00166#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	0	0	0	0	0	1
MGG_00180	ubiquitin_proteasome	PEX4	Ubiquitin-conjugating enzyme E2, Ubiquitin-conjugating enzyme/RWD-like	PEX4	Not_DEG	Not_DEG	Not_DEG	Δmst12	Not_DEG	Not_DEG	0	0	0	1	0	0
MGG_00183	signal_transduction	SSK2	Mitogen-activated protein (MAP) kinase kinase kinase Ssk2/Ssk22, Protein kinase domain, Protein kinase, ATP binding site, Protein kinase-like domain superfamily, Serine/threonine-protein kinase, active site	SSK2	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00187	phosphatases		HAD hydrolase, subfamily IA, HAD superfamily, HAD-like superfamily, Haloacid dehalogenase-like hydrolase, Phosphoglycolate phosphatase-like, domain 2	MGG_00187#	Not_DEG	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	0	1	0	0	0	0
MGG_00190	transcription_factor		Helix-loop-helix DNA-binding domain superfamily, Myc-type, basic helix-loop-helix (bHLH) domain	MGG_00190#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	0	0	0	0	0	1
MGG_00194	effector		Protein Rds1	MGG_00194#	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	1	0	0	0	0	0
MGG_00199	signal_transduction		Ras guanine nucleotide exchange factor domain superfamily, Ras guanine-nucleotide exchange factor, catalytic domain superfamily, Ras guanine-nucleotide exchange factors catalytic domain, Ras-like guanine nucleotide exchange factor, Ras-like guanine nucleotide exchange factor, N-terminal, SH3 domain, SH3-like domain superfamily	MGG_00199#	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	1	0	0	0	0	1
MGG_00201	effector		MFS transporter superfamily, Major facilitator superfamily, Major facilitator superfamily domain	MGG_00201#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δmst12	0	0	0	0	0	1
MGG_00203	signal_transduction		HeLo domain superfamily, Prion-inhibition and propagation, HeLo domain, Protein kinase domain, Protein kinase-like domain superfamily	MGG_00203#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	0	0	0	0	1	0
MGG_00204	transport		MFS transporter superfamily, Major facilitator superfamily, Major facilitator superfamily domain	MGG_00204#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	Δbip1, Δmst12	0	0	0	0	1	1
MGG_00211	signal_transduction		C2 domain superfamily, PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily, Phosphatidylinositol-specific phospholipase C, X domain, Phosphoinositide phospholipase C family, Phospholipase C, phosphatidylinositol-specific, Y domain	MGG_00211#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	0	0	0	0	0	1
MGG_00226	ubiquitin_proteasome		F-box-like domain superfamily	MGG_00226#	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	Not_DEG	0	0	1	0	0	0
MGG_00227	cell_wall_enzymes		Chitin-binding, type 1, Endochitinase-like superfamily	MGG_00227#	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	Not_DEG	0	0	1	0	0	0
MGG_00242	effector		Uncharacterized	MGG_00242#	Not_DEG	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	0	1	0	0	0	0
MGG_00245	cell_wall_enzymes		Cellulose/chitin-binding protein, N-terminal	MGG_00245#	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Δmst12	Δbip1, Δmst12	0	0	0	1	1	1
MGG_00249	transcription_factor		Zinc finger, MIZ-type, Zinc finger, RING/FYVE/PHD-type	MGG_00249#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	0	0	0	0	0	1
MGG_00255	binding_scaffold_other	YPEL2	Yippee domain, Yippee family, Yippee/Mis18/Cereblon	YPEL2	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δmst12	0	0	0	0	0	1
MGG_00256	proteases_peptidases		ArgE/DapE/ACY1/CPG2/YscS, conserved site, Peptidase M20, Peptidase M20, dimerisation domain	MGG_00256#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δmst12	0	0	0	0	0	1
MGG_00258	signal_transduction		Glucose receptor Git3, N-terminal	MGG_00258#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	0	0	0	0	0	1
MGG_00261	signal_transduction		F-box domain, F-box-like domain superfamily, G-protein beta WD-40 repeat, WD40 repeat, WD40 repeat, conserved site, WD40-repeat-containing domain superfamily, WD40/YVTN repeat-like-containing domain superfamily	MGG_00261#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00274	binding_scaffold_other		Cytochrome b5-like heme/steroid binding domain, Cytochrome b5-like heme/steroid binding domain superfamily	MGG_00274#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	0	0	0	0	0	1
MGG_00275	transport		MFS transporter superfamily, Major facilitator superfamily, Major facilitator superfamily domain	MGG_00275#	Not_DEG	Not_DEG	Δbip1	Not_DEG	Not_DEG	Not_DEG	0	0	1	0	0	0
MGG_00281	binding_scaffold_other		Carbohydrate-binding domain, family 9	MGG_00281#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	0	0	0	0	0	1
MGG_00282	proteases_peptidases		Fn3-like domain, Peptidase S8, subtilisin, Ser-active site, Peptidase S8, subtilisin-related, Peptidase S8/S53 domain, Peptidase S8/S53 domain superfamily	MGG_00282#	Not_DEG	Not_DEG	Δbip1	Not_DEG	Δmst12	Not_DEG	0	0	1	0	1	0
MGG_00283	effector		Uncharacterized	MGG_00283#	Not_DEG	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	0	1	0	0	0	0
MGG_00289	transport		Amino acid permease, conserved site, Amino acid permease/ SLC12A domain	MGG_00289#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00295	signal_transduction		PAS domain, PAS domain superfamily, RGS, subdomain 2	MGG_00295#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00296	cell_wall_enzymes		Alpha-1,2-mannosidase, putative, Glycoside hydrolase-type carbohydrate-binding, Glycosyl hydrolase family 92, Glycosyl hydrolase family 92 N-terminal domain, Six-hairpin glycosidase superfamily	MGG_00296#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	0	0	0	0	0	1
MGG_00300	binding_scaffold_other		Cytochrome P450, Cytochrome P450 superfamily, Cytochrome P450, E-class, group IV, Cytochrome P450, conserved site	MGG_00300#	Not_DEG	Not_DEG	Not_DEG	Δmst12	Not_DEG	Δbip1	0	0	0	1	0	1
MGG_00304	transport		Oligopeptide transporter, OPT superfamily	MGG_00304#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	0	0	0	0	0	1
MGG_00305	binding_scaffold_other		Cyanovirin-N, Cyanovirin-N superfamily	MGG_00305#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	0	0	0	0	0	1
MGG_00309	proteases_peptidases		Bacterial exopeptidase dimerisation domain, Peptidase M20, Peptidase M20, carboxypeptidase S, Peptidase M20, dimerisation domain	MGG_00309#	Not_DEG	Not_DEG	Not_DEG	Δmst12	Not_DEG	Not_DEG	0	0	0	1	0	0
MGG_00311	proteases_peptidases		Concanavalin A-like lectin/glucanase domain superfamily, Peptidase G1, Peptidase G1 superfamily	MGG_00311#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	0	0	0	0	0	1
MGG_00314	effector		Alpha/Beta hydrolase fold, Carboxylesterase type B, active site, Carboxylesterase, type B	MGG_00314#	Not_DEG	Not_DEG	Not_DEG	Δmst12	Not_DEG	Not_DEG	0	0	0	1	0	0
MGG_00317	dna_rna_protein_binding		Fumarylacetoacetase, Fumarylacetoacetase, N-terminal, Fumarylacetoacetase, N-terminal domain superfamily, Fumarylacetoacetase-like, C-terminal, Fumarylacetoacetase-like, C-terminal domain superfamily	MGG_00317#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00320	transcription_factor	FZC64	Fungal transcription factor, Zn(2)-C6 fungal-type DNA-binding domain, Zn(2)-C6 fungal-type DNA-binding domain superfamily	FZC64	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	1	0	0	0	0	1
MGG_00339	dna_rna_protein_binding	MCG1	SET domain, Tetratricopeptide-like helical domain superfamily	MCG1	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	Δbip1, Δmst12	0	0	0	1	0	1
MGG_00345	signal_transduction	RIM15	AGC-kinase, C-terminal, CheY-like superfamily, PAS domain, PAS domain superfamily, Protein kinase domain, Protein kinase-like domain superfamily, Serine/threonine-protein kinase, active site, Signal transduction response regulator, receiver domain	RIM15	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00346	transport		MFS transporter superfamily, Major facilitator superfamily domain, Major facilitator,  sugar transporter-like	MGG_00346#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00347	binding_scaffold_other		8-oxoguanine DNA glycosylase, N-terminal, DNA glycosylase, Helix-hairpin-helix, base-excision DNA repair, C-terminal, HhH-GPD domain	MGG_00347#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Δbip1	0	0	0	0	1	1
MGG_00348	dna_rna_protein_binding		Nucleotide-binding alpha-beta plait domain superfamily, RNA recognition motif domain, RNA-binding domain superfamily	MGG_00348#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00350	binding_scaffold_other	SDC1	Dpy-30 motif, Sdc1/DPY30	SDC1	Not_DEG	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	0	1	0	0	0	0
MGG_00354	transcription_factor	HAPB	Nuclear transcription factor Y subunit A	HAPB	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	0	0	0	0	1	0
MGG_00356	dna_rna_processing_and_repair		Armadillo-like helical, Armadillo-type fold, Splicing factor 3B subunit 1, Splicing factor 3B subunit 1-like	MGG_00356#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	0	0	0	0	1	0
MGG_00361	binding_scaffold_other		Sas10 C-terminal domain, Sas10/Utp3/C1D	MGG_00361#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00363	translation_ribosome		Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal	MGG_00363#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00369	signal_transduction		Signal transduction cycle protein 123	MGG_00369#	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	1	0	0	0	0	0
MGG_00371	signal_transduction	CDC25	Ras guanine nucleotide exchange factor domain superfamily, Ras guanine-nucleotide exchange factor, catalytic domain superfamily, Ras guanine-nucleotide exchange factor, conserved site, Ras guanine-nucleotide exchange factors catalytic domain, Ras-like guanine nucleotide exchange factor, Ras-like guanine nucleotide exchange factor, N-terminal, SH3 domain, SH3-like domain superfamily, WW domain	CDC25	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	0	0	0	0	1	0
MGG_00375	cell_wall_enzymes		Beta-1,3-glucanase, N-terminal, Beta-1,3-glucanase, N-terminal, subdomain 2, Glucan endo-1,3-beta-glucosidase, Osmotin/thaumatin-like superfamily	MGG_00375#	Not_DEG	Δbip1	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	0	1	0	1	0	0
MGG_00382	signal_transduction		GPN-loop GTPase, GPN-loop GTPase 3, P-loop containing nucleoside triphosphate hydrolase	MGG_00382#	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	0	0	0	1	0	0
MGG_00383	binding_scaffold_other		S-adenosylmethionine synthetase, S-adenosylmethionine synthetase superfamily, S-adenosylmethionine synthetase, C-terminal, S-adenosylmethionine synthetase, N-terminal, S-adenosylmethionine synthetase, central domain, S-adenosylmethionine synthetase, conserved site	MGG_00383#	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	0	0	0	1	0	0
MGG_00388	nlrs		Ankyrin repeat, Ankyrin repeat-containing domain superfamily, NACHT nucleoside triphosphatase, P-loop containing nucleoside triphosphate hydrolase	MGG_00388#	Not_DEG	Δbip1	Not_DEG	Not_DEG	Not_DEG	Not_DEG	0	1	0	0	0	0
MGG_00392	signal_transduction		Fatty acid desaturase domain	MGG_00392#	Δbip1, Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	1	0	0	0	0	0
MGG_00393	dna_rna_protein_binding		Leucine-rich repeat, Leucine-rich repeat domain superfamily, Leucine-rich repeat, typical subtype	MGG_00393#	Δbip1, Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	1	0	0	0	0	0
MGG_00397	transcription_factor		Transcription factor TFIIH subunit p52/Tfb2, Transcription factor Tfb2, C-terminal domain	MGG_00397#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	0	0	0	0	1	0
MGG_00399	vesicular_transport		Transport and Golgi organisation protein 2	MGG_00399#	Not_DEG	Not_DEG	Δbip1	Not_DEG	Not_DEG	Not_DEG	0	0	1	0	0	0
MGG_00401	secreted_extracellular	NLP2	Necrosis inducing protein	NLP2	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	0	0	0	1	0	0
MGG_00408	proteases_peptidases		Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II, Regulator of chromosome condensation, RCC1	MGG_00408#	Not_DEG	Not_DEG	Not_DEG	Δmst12	Not_DEG	Not_DEG	0	0	0	1	0	0
MGG_00427	transcription_factor		FAD-binding domain, FAD/NAD(P)-binding domain superfamily, O-methyltransferase COMT-type, O-methyltransferase domain, S-adenosyl-L-methionine-dependent methyltransferase, Winged helix DNA-binding domain superfamily, Winged helix-like DNA-binding domain superfamily	MGG_00427#	Δmst12	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Not_DEG	1	0	0	0	0	0
MGG_00431	dna_rna_protein_binding		Homogentisate 1,2-dioxygenase, Homogentisate 1,2-dioxygenase, C-terminal domain, Homogentisate 1,2-dioxygenase, N-terminal domain, RmlC-like cupin domain superfamily, RmlC-like jelly roll fold	MGG_00431#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δmst12	Δmst12	0	0	0	0	1	1
MGG_00438	signal_transduction	PATH531	TB2/DP1/HVA22-related protein	PATH531	Not_DEG	Not_DEG	Δbip1	Not_DEG	Not_DEG	Δmst12	0	0	1	0	0	1
MGG_00450	kinases		Phosphoenolpyruvate carboxykinase (ATP), conserved site, Phosphoenolpyruvate carboxykinase, ATP-utilising, Phosphoenolpyruvate carboxykinase, C-terminal, Phosphoenolpyruvate carboxykinase, N-terminal	MGG_00450#	Not_DEG	Not_DEG	Δbip1	Not_DEG	Not_DEG	Not_DEG	0	0	1	0	0	0
MGG_00457	binding_scaffold_other		Bud22 domain, Bud22/Serum response factor-binding protein 1	MGG_00457#	Not_DEG	Not_DEG	Not_DEG	Not_DEG	Δbip1	Not_DEG	0	0	0	0	1	0
MGG_00458	binding_scaffold_other		EF-Hand 1, calcium-binding site, EF-hand domain, EF-hand domain pair	MGG_00458#	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	Not_DEG	0	0	1	0	0	0
MGG_00464	transport		MFS transporter superfamily, Major facilitator superfamily domain, Major facilitator,  sugar transporter-like	MGG_00464#	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	Not_DEG	0	0	1	0	0	0
MGG_00467	dna_rna_protein_binding		Armadillo-type fold, Neurochondrin	MGG_00467#	Not_DEG	Not_DEG	Not_DEG	Δbip1, Δmst12	Not_DEG	Not_DEG	0	0	0	1	0	0
