target_id	length	eff_length	est_counts	tpm
MGG_02348T0	3837	3838	0	0
MGG_17403T0	279	280	0	0
MGG_13447T0	2873	2874	1199.18	36.9746
MGG_08170T0	2542	2543	1477	51.4682
MGG_03259T0	351	352	18	4.53142
MGG_03130T0	3368	3369	4849	127.543
MGG_00456T0	5577	5578	1096	17.4115
MGG_05172T0	1281	1282	65	4.49293
MGG_01494T0	2541	2542	2507	87.3944
MGG_09551T0	3954	3955	4475.61	100.279
MGG_10709T0	1767	1768	269	13.4826
MGG_10973T0	893	894	491	48.6686
MGG_07136T0	2801	2802	2806.66	88.7618
MGG_02581T0	501	502	26	4.58959
MGG_10648T0	2303	2304	96	3.69227
MGG_03928T0	1183	1184	658.875	49.3124
MGG_17703T0	1370	1371	144	9.30743
MGG_10035T0	1826	1827	413	20.0316
MGG_01338T0	2787	2788	150	4.76764
MGG_01127T0	3693	3694	4218	101.185
MGG_17405T0	213	214	10	4.14086
MGG_10857T0	5138	5139	1429	24.641
MGG_01467T0	3280	3281	2343	63.2806
MGG_08305T0	1665	1666	108.514	5.77186
MGG_12590T0	3805	3806	894	20.8149
MGG_16108T0	608	609	15	2.18262
MGG_06948T0	1353	1354	902.395	59.0585
MGG_15554T0	2507	2508	912	32.2234
MGG_06184T0	1780	1781	3160	157.227
MGG_09903T0	1326	1327	931	62.1704
MGG_07643T0	942	943	254	23.8686
MGG_13771T0	538	539	0	0
MGG_13806T0	1965	1966	10637	479.447
MGG_04576T0	1596	1597	2	0.110976
MGG_14375T0	774	775	13	1.48644
MGG_09173T0	1322	1323	1237	82.8542
MGG_09425T0	471	472	0	0
MGG_05915T0	858	859	10274	1059.87
MGG_05807T0	1703	1704	283	14.7171
MGG_07095T0	2669	2670	920	30.5338
MGG_00166T0	1104	1105	1101	88.2937
MGG_13473T0	339	340	284	74.0191
MGG_05891T1	2226	2227	65.2184	2.5951
MGG_05891T0	2810	2811	147.118	4.63776
MGG_02295T0	1404	1405	6	0.378425
MGG_16446T0	1152	1153	67	5.14932
MGG_15534T0	1844	1845	70	3.36207
MGG_06678T0	2741	2742	1918	61.9849
MGG_00281T0	690	691	53	6.79677
MGG_15781T0	159	160	0	0
MGG_08631T0	948	949	301	28.1064
MGG_16471T0	1227	1228	11	0.793778
MGG_13559T0	690	691	6	0.769445
MGG_16238T0	273	274	0	0
MGG_13467T0	2848	2849	865.606	26.9236
MGG_01523T0	3030	3031	318.814	9.32087
MGG_16909T0	165	166	0	0
MGG_01398T0	1805	1806	760	37.2907
MGG_04972T0	1222	1223	900.908	65.2768
MGG_02900T0	3602	3603	340	8.36218
MGG_03177T0	1197	1198	0	0
MGG_08205T0	1741	1742	401	20.3986
MGG_00681T0	1652	1653	731	39.1876
MGG_16841T0	809	810	1240.91	135.756
MGG_10453T0	1280	1281	70	4.84232
MGG_03595T0	3620	3621	3857	94.3899
MGG_18064T0	798	799	15.4973	1.71875
MGG_08019T1	2018	2019	487.219	21.3842
MGG_08019T0	1561	1562	1014.78	57.57
MGG_09290T0	1305	1306	356	24.1552
MGG_06510T0	1219	1220	10149	737.171
MGG_04449T0	3339	3340	3248.89	86.1973
MGG_03866T0	645	646	17	2.33196
MGG_10932T0	1926	1927	301	13.8417
MGG_00289T0	2307	2308	47808.9	1835.6
MGG_03269T0	4873	4874	1022.53	18.5907
MGG_14068T0	2224	2225	7	0.278787
MGG_13607T0	11784	11785	8	0.0601541
MGG_04516T0	1612	1613	421.558	23.1594
MGG_01753T0	2433	2434	651	23.7009
MGG_15879T0	828	829	1	0.106893
MGG_11124T0	1746	1747	0	0
MGG_05506T0	1453	1454	1217	74.1704
MGG_02886T0	1359	1360	112	7.29766
MGG_05344T0	839	840	20873	2201.96
MGG_00458T0	911	912	253.1	24.5924
MGG_16522T0	1133	1134	160.477	12.5402
MGG_14133T0	5222	5223	2362	40.0742
MGG_03811T0	1701	1702	3	0.156195
MGG_07534T0	2061	2062	732	31.4577
MGG_15339T1	4192	4193	189.592	4.00682
MGG_15339T0	4258	4259	430.408	8.95524
MGG_15866T0	2100	2101	1625	68.5381
MGG_06780T0	2416	2417	114	4.17958
MGG_15904T0	287	288	1	0.307689
MGG_09992T0	1485	1486	385	22.9587
MGG_03753T0	1031	1032	0	0
MGG_01525T0	569	570	1815	282.167
MGG_00264T0	1625	1626	448	24.4153
MGG_05106T0	2055	2056	1328	57.2374
MGG_13129T0	2229	2230	598	23.763
MGG_06322T0	1671	1672	1105.79	58.6057
MGG_15753T0	4783	4784	802.221	14.8596
MGG_04993T0	2111	2112	790	33.1465
MGG_07054T0	1125	1126	256	20.1468
MGG_06748T0	2639	2640	3045	102.209
MGG_01445T0	1122	1123	163	12.8621
MGG_07848T0	4392	4393	24	0.484122
MGG_07576T0	1465	1466	446	26.9591
MGG_04780T0	5315	5316	128.48	2.14169
MGG_04780T1	5138	5139	547.52	9.44117
MGG_06276T0	2429	2430	3285	119.794
MGG_00957T0	2592	2593	809.563	27.6664
MGG_18001T0	156	157	11	6.20866
MGG_12988T0	2612	2613	2367.36	80.2841
MGG_07962T0	1670	1671	1331	70.584
MGG_08129T0	2402	2403	38	1.40131
MGG_09237T0	1369	1370	710.784	45.975
MGG_05224T0	3926	3927	1277	28.8161
MGG_11505T0	1873	1874	932.462	44.0927
MGG_07454T0	2102	2103	983	41.4208
MGG_12131T0	4366	4367	1543	31.3103
MGG_01575T0	1174	1175	5900	444.958
MGG_01297T0	1315	1316	4905.29	330.304
MGG_15819T0	255	256	2	0.6923
MGG_14936T0	1159	1160	132	10.0837
MGG_17923T0	374	375	56	13.2331
MGG_02535T0	3025	3026	1538	45.0393
MGG_17750T0	1656	1657	2	0.106958
MGG_16608T0	165	166	77	41.1043
MGG_02331T0	1446	1447	14	0.857362
MGG_00213T0	1154	1155	411	31.5329
MGG_17823T0	1878	1879	1	0.0471604
MGG_00671T0	1815	1816	394	19.2258
MGG_02182T0	483	484	3	0.549263
MGG_01448T0	2193	2194	340	13.7324
MGG_16273T0	947	948	10	0.934752
MGG_03937T0	4236	4237	2640	55.2141
MGG_03879T0	2016	2017	3135	137.732
MGG_15889T0	195	196	0	0
MGG_17893T0	399	400	10	2.21536
MGG_08253T0	1152	1153	98	7.53184
MGG_09264T0	2102	2103	624	26.2936
MGG_12955T0	2475	2476	1223	43.7704
MGG_16707T1	1785	1786	0	0
MGG_16707T0	1457	1458	15	0.911671
MGG_15551T0	306	307	0	0
MGG_05662T0	1545	1546	648.985	37.1989
MGG_16930T0	609	610	0	0
MGG_12948T0	1369	1370	4930.62	318.923
MGG_07926T0	1269	1270	789	55.0526
MGG_09720T0	1990	1991	10	0.445075
MGG_09129T0	3276	3277	66	1.78473
MGG_08966T0	1143	1144	3	0.232381
MGG_15019T0	2863	2864	227	7.02356
MGG_02472T0	813	814	819	89.1588
MGG_02417T0	2341	2342	1034	39.1235
MGG_00400T0	991	992	10	0.893291
MGG_17558T0	2183	2184	26082.3	1058.27
MGG_14836T0	915	916	2061	199.383
MGG_08919T0	4875	4876	1274	23.1532
MGG_03721T0	1536	1537	1531	88.2685
MGG_06874T0	2142	2143	2299	95.0652
MGG_02042T0	2082	2083	9	0.382876
MGG_07606T0	3210	3211	5951.15	164.235
MGG_07606T1	3252	3253	110.377	3.00675
MGG_05701T0	740	741	1358.03	162.403
MGG_17221T0	561	562	0	0
MGG_05457T0	4677	4678	10125	191.796
MGG_01802T0	3968	3969	6339	141.529
MGG_00144T0	1560	1561	321.724	18.2635
MGG_03236T0	1349	1350	13100.4	859.913
MGG_17346T0	252	253	168	58.8428
MGG_03238T0	2455	2456	2471.61	89.1776
MGG_01778T0	3393	3394	543	14.1773
MGG_00339T0	2054	2055	3491	150.537
MGG_11589T0	731	732	1410.08	170.701
MGG_08083T0	2257	2258	656	25.7445
MGG_03152T0	1150	1151	5373.24	413.681
MGG_13659T0	1689	1690	368	19.2959
MGG_08498T0	1536	1537	5	0.288271
MGG_01270T0	1109	1110	325	25.9457
MGG_00760T0	5556	5557	2092	33.36
MGG_05982T0	1458	1459	15355	932.608
MGG_14628T0	1807	1808	949	46.5128
MGG_01550T0	1613	1614	5024	275.836
MGG_15975T0	963	964	6	0.551542
MGG_09759T0	660	661	94	12.6018
MGG_13248T0	378	379	0	0
MGG_04057T0	948	949	9	0.84039
MGG_02645T0	339	340	0	0
MGG_02708T0	1170	1171	6194	468.726
MGG_09608T0	2272	2273	5	0.194928
MGG_14623T0	1848	1849	78	3.7382
MGG_04311T0	1606	1607	758.201	41.8093
MGG_15605T0	216	217	0	0
MGG_10109T0	588	589	68	10.2305
MGG_15731T0	2042	2043	372	16.1354
MGG_05381T0	1443	1444	326	20.0058
MGG_08476T0	969	970	15	1.37033
MGG_14690T0	1598	1599	243	13.4667
MGG_17519T0	258	259	7	2.39499
MGG_10473T0	1455	1456	3	0.182585
MGG_15693T0	150	151	0	0
MGG_02854T0	1911	1912	1105	51.2129
MGG_06924T0	2012	2013	10780	474.547
MGG_10103T0	1680	1681	269	14.1804
MGG_13624T0	5560	5561	4106	65.4291
MGG_12986T0	2344	2345	2560	96.739
MGG_05353T0	1587	1588	488	27.2316
MGG_17047T0	168	169	13	6.8165
MGG_09102T0	1809	1810	88	4.30833
MGG_06326T0	958	959	469.583	43.3909
MGG_05716T0	715	716	1689	209.036
MGG_16998T0	651	652	0	0
MGG_09239T0	2351	2352	3713	139.892
MGG_12708T0	855	856	569	58.9038
MGG_06026T0	2797	2798	4273	135.329
MGG_10463T0	1707	1708	33.4798	1.737
MGG_07086T0	1334	1335	3198	212.276
MGG_05004T0	3737	3738	882	20.909
MGG_00440T0	1824	1825	45	2.18501
MGG_12999T0	3180	3181	634	17.6616
MGG_01386T0	2071	2072	858	36.6946
MGG_15183T0	1741	1742	12	0.610433
MGG_13191T0	1710	1711	351.71	18.2154
MGG_02431T0	408	409	0	0
MGG_02899T0	2288	2289	6949	269.018
MGG_02097T0	2643	2644	61	2.04443
MGG_16477T0	4912	4913	695.482	12.5442
MGG_00161T0	2283	2284	1020	39.5739
MGG_16045T0	625	626	2131.29	301.699
MGG_17263T0	1242	1243	55	3.92099
MGG_15774T0	1645	1646	5021	270.312
MGG_10076T0	1437	1438	117	7.20994
MGG_17873T0	474	475	13	2.42524
MGG_09361T0	1114	1115	5666	450.305
MGG_08715T0	414	415	0	0
MGG_10458T0	948	949	0	0
MGG_14211T0	280	281	0	0
MGG_15336T0	381	382	0	0
MGG_09856T0	2569	2570	43	1.48265
MGG_01456T0	2245	2246	1138	44.899
MGG_10730T0	3926	3927	622	14.0357
MGG_02305T0	1419	1420	28	1.74733
MGG_09666T0	468	469	0	0
MGG_08559T0	1255	1256	839	59.1939
MGG_16188T0	889	890	58.4817	5.82283
MGG_06249T0	939	940	12321.3	1161.54
MGG_15631T0	213	214	21	8.69581
MGG_08122T0	3123	3124	1292	36.6485
MGG_16835T0	2504	2505	396	14.0085
MGG_09048T0	3766	3767	522	12.2795
MGG_09431T0	1419	1420	5	0.312023
MGG_07800T0	2489	2490	244	8.68351
MGG_00600T0	522	523	1045	177.059
MGG_02879T0	3687	3688	57	1.36958
MGG_13049T0	969	970	209	19.0932
MGG_03841T0	6205	6206	3402	48.5766
MGG_08689T0	4722	4723	4652	87.2823
MGG_00826T0	1087	1088	13	1.05881
MGG_04446T0	1910	1911	745	34.5462
MGG_15930T0	1137	1138	0	0
MGG_14563T0	4675	4676	3646	69.095
MGG_11072T0	1096	1097	156	12.6015
MGG_06288T0	1530	1531	931	53.8864
MGG_05551T0	1488	1489	6	0.357076
MGG_13020T0	2283	2284	1544	59.904
MGG_15735T0	303	304	1	0.291495
MGG_04334T0	1845	1846	1146	55.012
MGG_17756T0	216	217	0	0
MGG_11385T0	1771	1772	1540.03	77.0139
MGG_09349T0	1164	1165	2055	156.311
MGG_11914T0	2195	2196	1273.14	51.3746
MGG_02009T0	3173	3174	0	0
MGG_15250T0	1791	1792	456	22.5492
MGG_13441T0	1536	1537	190	10.9543
MGG_04387T0	2004	2005	522	23.0707
MGG_15254T0	210	211	0	0
MGG_14118T0	2730	2731	4860	157.695
MGG_08821T0	2911	2912	297.087	9.04059
MGG_16145T0	1233	1234	1043	74.8986
MGG_09304T0	1276	1277	1071	74.3196
MGG_16925T0	1637	1638	4.74572e-07	2.56739e-08
MGG_16925T1	1572	1573	27	1.52104
MGG_16547T0	594	595	0	0
MGG_08499T0	2264	2265	141.373	5.53097
MGG_07325T0	1497	1498	918	54.3045
MGG_02770T0	1280	1281	3006.37	207.969
MGG_04975T0	1554	1555	271	15.4434
MGG_08458T0	1394	1395	1458	92.6164
MGG_01304T0	2099	2100	1270	53.5907
MGG_00227T0	1251	1252	7.29789	0.516532
MGG_15981T0	360	361	0	0
MGG_15518T0	636	637	4	0.556449
MGG_00734T0	715	716	0	0
MGG_03722T0	2349	2350	5	0.188541
MGG_12276T0	3361	3362	882	23.2475
MGG_16346T0	291	292	0	0
MGG_04432T0	2105	2106	2392	100.649
MGG_17751T0	231	232	5	1.90979
MGG_06680T0	2377	2378	899.392	33.5152
MGG_02180T0	753	754	1321	155.252
MGG_05654T0	3176	3177	680	18.9669
MGG_10115T0	2675	2676	901	29.8362
MGG_16001T0	690	691	0	0
MGG_11511T0	1412	1413	65.7983	4.12645
MGG_09167T0	2596	2597	66	2.25204
MGG_06080T0	2046	2047	339	14.6753
MGG_01361T0	1836	1837	2141	103.279
MGG_18042T0	435	436	3	0.609733
MGG_16671T0	213	214	0	0
MGG_02836T0	2273	2274	10414.7	405.845
MGG_09589T0	11681	11682	17	0.128954
MGG_17040T0	571	572	8	1.23936
MGG_15550T0	397	398	27	6.01153
MGG_09553T0	6137	6138	2657.29	38.3634
MGG_08622T0	2251	2252	12408.6	488.268
MGG_05553T0	1446	1447	0	0
MGG_01305T0	974	975	2676	243.213
MGG_17766T0	342	343	0	0
MGG_04379T0	516	517	470	80.5586
MGG_05346T0	1612	1613	330	18.1294
MGG_17541T0	276	277	21	6.71806
MGG_12958T0	4027	4028	8140.34	179.084
MGG_10632T0	2638	2639	13314.5	447.083
MGG_07777T0	2614	2615	1034	35.0391
MGG_01011T0	1990	1991	1091	48.5577
MGG_02106T0	531	532	215	35.8122
MGG_09791T0	684	685	0	0
MGG_15638T0	333	334	33	8.75532
MGG_17163T0	258	259	8	2.73713
MGG_10655T0	2076	2077	3144	134.138
MGG_14612T0	2582	2583	0	0
MGG_13715T0	1502	1503	501	29.5382
MGG_00461T0	1533	1534	45	2.59951
MGG_09520T0	1512	1513	1236.61	72.4268
MGG_08999T0	555	556	48	7.65017
MGG_04536T1	3596	3597	1100.72	27.117
MGG_04536T0	3685	3686	143.278	3.44452
MGG_15150T0	327	328	0	0
MGG_14000T0	972	973	269.936	24.584
MGG_02192T0	2640	2641	2	0.0671067
MGG_07712T0	705	706	682	85.6021
MGG_07599T0	1271	1272	85	5.92156
MGG_01701T0	2191	2192	237	9.58103
MGG_03848T0	3247	3248	284	7.74831
MGG_15420T0	519	520	0	0
MGG_10878T0	1836	1837	2689	129.714
MGG_01201T0	3281	3282	543.314	14.6696
MGG_17079T0	2136	2137	1537.98	63.7751
MGG_17041T0	1684	1685	2241	117.855
MGG_14916T0	2798	2799	327	10.3526
MGG_10325T0	1963	1964	1073	48.4131
MGG_00591T0	1713	1714	375	19.3876
MGG_15571T0	447	448	43.2653	8.55789
MGG_14748T0	2027	2028	689	30.1062
MGG_07850T0	941	942	3	0.282212
MGG_12213T0	2082	2083	124.768	5.30784
MGG_15553T0	1381	1382	30	1.92361
MGG_09002T0	624	625	353	50.0494
MGG_15207T0	630	631	208	29.2105
MGG_10234T0	579	580	3	0.458351
MGG_14117T0	615	616	22	3.1648
MGG_12843T0	1757	1758	965	48.6422
MGG_02403T0	2172	2173	192.105	7.83399
MGG_02403T1	2167	2168	340.895	13.9337
MGG_16264T0	204	205	4	1.72906
MGG_04258T0	920	921	5	0.481077
MGG_08059T0	1467	1468	1052	63.503
MGG_02710T0	884	885	5849.31	585.687
MGG_16444T0	3807	3808	2193	51.0324
MGG_02565T0	1641	1642	0	0
MGG_05936T0	1323	1324	2542	170.134
MGG_02948T0	1706	1707	1839	95.4669
MGG_04425T0	1557	1558	1983	112.787
MGG_12546T0	312	313	13	3.68047
MGG_02739T0	1165	1166	437.535	33.2521
MGG_13891T0	4461	4462	1174	23.3154
MGG_15804T0	192	193	0	0
MGG_01031T0	675	676	83	10.8802
MGG_16921T0	793	794	715	79.7977
MGG_03004T0	3077	3078	49	1.41069
MGG_02620T0	978	979	9231.64	835.604
MGG_04938T0	1143	1144	67	5.18983
MGG_05628T0	1059	1060	77	6.43709
MGG_16611T0	984	985	21.4829	1.93268
MGG_18046T0	2451	2452	276	9.97455
MGG_12029T0	639	640	6	0.830761
MGG_01763T0	1152	1153	3	0.230567
MGG_06929T0	1784	1785	1494.31	74.1836
MGG_15709T0	174	175	0	0
MGG_08875T0	3368	3369	787	20.7004
MGG_17912T0	297	298	44	13.084
MGG_10007T0	318	319	0	0
MGG_17908T0	1776	1777	627	31.2669
MGG_01199T0	1008	1009	369	32.4071
MGG_11371T0	4259	4260	560	11.6488
MGG_10004T0	408	409	1184	256.527
MGG_05252T0	1375	1376	1500.35	96.6223
MGG_14705T0	267	268	22	7.27432
MGG_02468T0	3234	3235	1355	37.1167
MGG_07810T0	348	349	0	0
MGG_00729T0	3427	3428	1176	30.3998
MGG_16028T0	225	226	0	0
MGG_06411T0	1278	1279	717	49.6768
MGG_12939T0	1862	1863	4179	198.776
MGG_01034T0	5402	5403	1205.39	19.7696
MGG_05666T0	5841	5842	2567	38.9376
MGG_17578T0	642	643	257	35.4182
MGG_15199T0	411	412	0	0
MGG_17804T0	189	190	0	0
MGG_01544T0	1600	1601	385	21.3095
MGG_04128T0	2204	2205	1426	57.308
MGG_04209T0	2778	2779	435	13.8709
MGG_01453T0	2446	2447	160	5.79416
MGG_16715T0	261	262	73	24.6903
MGG_01631T0	2248	2249	5233.91	206.225
MGG_08119T0	393	394	8	1.79928
MGG_00239T0	3723	3724	0	0
MGG_16302T0	1145	1146	17	1.31453
MGG_15724T0	1579	1580	54.665	3.06589
MGG_17493T0	534	535	11.9212	1.97455
MGG_08026T0	965	966	14	1.28427
MGG_06765T0	2578	2579	5266	180.94
MGG_00134T0	4621	4622	1436	27.5315
MGG_16721T0	2775	2776	148	4.7244
MGG_04903T0	2970	2971	489.365	14.596
MGG_16514T0	561	562	28	4.41496
MGG_12424T0	3228	3229	605	16.6032
MGG_04790T0	6360	6361	890.735	12.4087
MGG_04058T0	1577	1578	251	14.0952
MGG_04440T0	3046	3047	1152	33.5031
MGG_01625T0	20262	20263	3925.78	17.1683
MGG_01625T1	20188	20189	992.217	4.35508
MGG_04415T0	2693	2694	376	12.3679
